sentence1	sentence2	similarity	partition	pair_id	sentence1_id	sentence2_id	similarity_scaled	language	length1	length2	ner_s1	ner_s2	ner_s1_tokens	ner_s2_tokens	dep_labels_s1	dep_labels_s2	size_proportion	size_mean	voc_inter	bigram_inter	ner_inter	sim_sint	sim_sint_root	dep_labels_inter	dep_labels_inter_dup	topic_s1	topic_s2	same_topic	pred_paraphrase-multilingual-mpnet-base-v2	pred_paraphrase-multilingual-MiniLM-L12-v2	pred_distiluse-base-multilingual-cased-v1	pred_distiluse-base-multilingual-cased-v2	pred_all-mpnet-base-v2
No Brasil, 809 instituições participarão da Primavera dos Museus neste ano.	Começa nesta segunda-feira, em todo o Brasil, a Primavera dos Museus.	3.25	test	6001	5989	15938	0.5625	ptbr-test	13	14	['Brasil', 'Primavera', 'Museus']	['Brasil', 'Primavera', 'Museus']	['Brasil', 'Primavera', 'Museus']	['Brasil', 'Primavera', 'Museus']	['None', 'case', 'obl', 'punct', 'nummod', 'nsubj', 'ROOT', 'case', 'obl', 'acl', 'obj', 'case', 'det', 'obl', 'None']	['None', 'ROOT', 'case', 'det', 'obl', 'punct', 'case', 'det', 'fixed', 'obl', 'punct', 'det', 'obj', 'acl', 'obj', 'None']	0.9286	13.5	0.2222	0.1111	1.0	0.472	0.444	0.7	0.667	notícia_outras	notícia_outras	1	3.786629676818848	3.555542469024658	3.2894113063812256	3.512002944946289	3.9356977939605713
Alguns dos novos participantes serão revelados no programa Xuxa Meneghel, que vai ao ar na segunda-feira.	Parte dos participantes será anunciada no Programa Xuxa Meneghel.	4.0	test	6002	5990	15939	0.75	ptbr-test	18	10	['Xuxa Meneghel']	['Programa Xuxa Meneghel']	['Xuxa', 'Meneghel']	['Programa', 'Xuxa', 'Meneghel']	['None', 'det', 'acl', 'amod', 'nsubj:pass', 'aux:pass', 'ROOT', 'case', 'obl', 'appos', 'flat:name', 'punct', 'nsubj', 'acl:relcl', 'case', 'det', 'obl', 'appos', 'flat:name', 'None']	['None', 'ROOT', 'acl', 'nsubj:pass', 'aux:pass', 'ROOT', 'case', 'obl', 'flat:name', 'flat:name', 'None']	0.5556	14.0	0.25	0.0952	0.67	0.75	0.75	0.538	0.593	entretenimento	entretenimento	1	4.276824712753296	4.225120544433594	4.051949501037598	4.231194257736206	4.30211329460144
Nesta terça, o Inter revelou que o gringo sofre com uma hérnia de disco.	Nesta terça-feira, o departamento médico do clube gaúcho informou que o argentino está com hérnia de disco.	4.5	test	6003	5991	15940	0.875	ptbr-test	16	19	['Inter']	[]	['Inter']	[]	['None', 'case', 'obl', 'punct', 'det', 'nsubj', 'ROOT', 'mark', 'det', 'nsubj', 'ccomp', 'case', 'det', 'obl', 'case', 'nmod', 'None']	['None', 'case', 'obl', 'punct', 'det', 'nsubj', 'amod', 'case', 'nmod', 'flat:name', 'ROOT', 'mark', 'det', 'nsubj', 'cop', 'case', 'ccomp', 'case', 'nmod', 'None']	0.8421	17.5	0.3182	0.1154	0.0	1.0	1.0	0.75	0.788	futebol_esporte	futebol_esporte	1	3.970320701599121	2.5471924543380737	3.11616587638855	3.0777337551116943	3.999880313873291
O texto da reforma política será agora encaminhado à apreciação do Senado Federal.	Após passar pela Câmara, o texto tem que ir ainda para o Senado.	4.0	test	6004	5992	15941	0.75	ptbr-test	14	15	['Senado Federal']	['Câmara', 'Senado']	['Senado', 'Federal']	['Câmara', 'Senado']	['None', 'det', 'nsubj:pass', 'case', 'nmod', 'amod', 'aux:pass', 'advmod', 'ROOT', 'case', 'obl', 'case', 'nmod', 'flat:name', 'None']	['None', 'mark', 'advcl', 'obj', 'flat:name', 'punct', 'det', 'nsubj', 'aux', 'mark', 'ROOT', 'advmod', 'case', 'det', 'obl', 'None']	0.9333	14.5	0.1364	0.0435	0.33	0.311	0.222	0.375	0.444	política	política	1	4.185795783996582	3.7793140411376953	3.0660245418548584	3.1227517127990723	3.2298502922058105
O Fluminense vive crise em campo e não vence há seis rodadas, são cinco derrotas e um empate.	Nos últimos seis jogos, o Fluminense foi derrotado em cinco ocasiões e empatou em uma.	4.25	test	6005	5993	15942	0.8125	ptbr-test	20	17	['Fluminense']	['Fluminense']	['Fluminense']	['Fluminense']	['None', 'det', 'nsubj', 'ROOT', 'obj', 'case', 'obl', 'cc', 'advmod', 'conj', 'advcl', 'nummod', 'obj', 'punct', 'cop', 'nummod', 'parataxis', 'cc', 'det', 'conj', 'None']	['None', 'case', 'amod', 'nummod', 'obl', 'punct', 'det', 'nsubj:pass', 'aux:pass', 'ROOT', 'case', 'nummod', 'obl', 'cc', 'conj', 'case', 'obl', 'None']	0.85	18.5	0.24	0.0333	1.0	0.477	0.364	0.471	0.514	futebol_esporte	futebol_esporte	1	3.801607131958008	4.16130256652832	4.28916597366333	4.303745985031128	4.186724185943604
John Lennon nasceu em 9 de outubro de 1940 em Liverpool (Reino Unido).	Hoje, dia 9 de outubro, John Lennon estaria completando 75 anos.	3.0	test	6006	5994	15943	0.5	ptbr-test	16	14	['John Lennon', 'Liverpool', 'Reino Unido']	['John Lennon']	['John', 'Lennon', 'Liverpool', 'Reino', 'Unido']	['John', 'Lennon']	['None', 'nsubj', 'flat:name', 'ROOT', 'case', 'obl', 'case', 'nmod:tmod', 'case', 'nmod', 'case', 'obl', 'punct', 'appos', 'flat:name', 'punct', 'None']	['None', 'advmod', 'punct', 'obl', 'nummod', 'case', 'nmod:tmod', 'punct', 'nsubj', 'flat:name', 'aux', 'ROOT', 'nummod', 'obj', 'None']	0.875	15.0	0.2222	0.1	0.4	0.524	0.571	0.538	0.571	entretenimento	entretenimento	1	3.3784937858581543	3.1939966678619385	3.5232489109039307	3.455625534057617	3.662473678588867
Segundo Lagarde, esse fenômeno deverá levar o FMI a revisar para baixo a previsão de crescimento.	Esse fenômeno deve levar o FMI a revisar para baixo as projeções de crescimento.	4.0	test	6007	5995	15944	0.75	ptbr-test	18	15	['Lagarde', 'FMI']	['FMI']	['Lagarde', 'FMI']	['FMI']	['None', 'case', 'obl', 'punct', 'det', 'nsubj', 'aux', 'ROOT', 'det', 'obj', 'mark', 'xcomp', 'case', 'obl', 'det', 'obj', 'case', 'nmod', 'None']	['None', 'det', 'nsubj', 'aux', 'ROOT', 'det', 'obj', 'mark', 'xcomp', 'case', 'obl', 'det', 'obj', 'case', 'nmod', 'None']	0.8333	16.5	0.6111	0.4	0.5	0.978	0.889	0.909	0.903	notícia_mundial	economia_mercado	0	4.657946825027466	4.719944477081299	4.041536331176758	4.226359844207764	4.68707013130188
De acordo com o Corpo de Bombeiros, o acidente aconteceu por volta das 6h30.	Segundo os bombeiros, o chamado foi feito às 6h32.	3.0	test	6008	5996	15945	0.5	ptbr-test	16	11	['Corpo', 'Bombeiros']	[]	['Corpo', 'Bombeiros']	[]	['None', 'case', 'obl', 'case', 'det', 'nmod', 'case', 'nmod', 'punct', 'det', 'nsubj', 'ROOT', 'case', 'obl', 'nummod', 'obl', 'None']	['None', 'case', 'det', 'obl', 'punct', 'det', 'nsubj:pass', 'aux:pass', 'ROOT', 'case', 'det', 'obl', 'None']	0.6875	13.5	0.1053	0.05	0.0	0.584	0.5	0.5	0.615	notícia_outras	0	0	4.166295289993286	4.176991701126099	3.535519361495972	3.8004322052001953	3.808027267456055
O botão de um dedão apontado para cima é um dos recursos mais populares na rede social.	"Atendendo ao pedido de muitos usuários da rede social, Mark vai incluir o botão ""não curti""."	2.0	test	6009	5997	15946	0.25	ptbr-test	18	20	[]	['Mark']	[]	['Mark']	['None', 'det', 'nsubj', 'case', 'det', 'nmod', 'acl', 'case', 'obl', 'cop', 'det', 'acl', 'ROOT', 'advmod', 'amod', 'appos', 'flat:name', 'flat:name', 'None']	['None', 'advcl', 'case', 'det', 'obl', 'case', 'det', 'nmod', 'case', 'nmod', 'amod', 'punct', 'nsubj', 'aux', 'ROOT', 'det', 'obj', 'appos', 'advmod', 'xcomp', 'obj', 'None']	0.9	19.0	0.1429	0.0333	0.0	0.2	0.2	0.529	0.649	produtos_tecnologia	produtos_tecnologia	1	3.4610345363616943	3.875781536102295	2.7488365173339844	2.965015172958374	3.649165153503418
Margarida Maria afirmava que “é melhor morrer na luta do que morrer de fome”.	Margarida Maria Alves sabia dos riscos de sua missão.	3.25	test	6010	5998	15947	0.5625	ptbr-test	17	10	['Margarida Maria']	['Margarida Maria Alves']	['Margarida', 'Maria']	['Margarida', 'Maria', 'Alves']	['None', 'nsubj', 'flat:name', 'ROOT', 'mark', 'nsubj', 'cop', 'advmod', 'ccomp', 'obj', 'flat:name', 'mark', 'mark', 'advcl', 'case', 'obl', 'flat:name', 'None']	['None', 'nsubj', 'flat:name', 'flat:name', 'ROOT', 'xcomp', 'obj', 'case', 'det', 'nmod', 'None']	0.5882	13.5	0.1667	0.05	0.67	0.584	0.5	0.357	0.48	notícia_outras	notícia_outras	1	2.5590949058532715	2.418159008026123	2.572981357574463	2.7359302043914795	3.503485202789306
